Year,Brand,Campaign,Star Date,End Date,TA,Publisher,Reach Fre.,cost,Universe(000),tauv,Market,index,reach,split,IMP Actual
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/7,2019/2/17,P20-40,Total,1+,12140000.0,407424.0,240380160.0,national,1,0.59,BPI,
2019,Dove Core,Dove Y19 wedding campaign,2019/3/17,2019/4/20,Potential wedding people,Total,1+,3874000.0,22000.0,18040000.0,national,9,0.82,BPI,
2019,Dove Core,Dove Y19 Rainbow campaign,2019/4/22,2019/5/3,P15-35,Total,1+,3000000.0,129609.0,22468637.0,national,15,0.17335707396862873,BPI,
2019,Dove Core,Dove Y19 Music campaign,2019/9/9,2019/12/6,P20-40,Total,1+,9730398.0,430484.0,249680720.0,national,17,0.58,BPI,
2019,Dove Gifting,Dove Y19 CVD campaign,2019/7/24,2019/8/7,P18-35,Total,1+,5932000.0,320000.0,189985522.0,national,20,0.59370475625,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Total,1+,6237350.0,220000.0,118508980.0,national,24,0.5386771818181818,BPI,
2019,Dove Core,Dove Y19 Premium line Campaign,2019/11/1,2020/11/12,P18-40,Total,1+,1325000.0,117623.0,29405750.0,national,34,0.25,BPI,
2019,Dove Core,Dove Y19 Ice cream campaign,2019/12/6,2019/12/23,P15-30,Total,1+,5448000.0,231000.0,60060000.0,national,36,0.26,BPI,
2020,Dove Core+Dove Gifting,Dove Y20 CNY,2019/12/28,2020/1/31,P18-35,Total,1+,10350000.0,352171.0,161998660.0,national,41,0.46,BPI,
2020,Dove Core,Dove Y20 wedding campaign,2020/4/22,2020/4/29,Potential wedding people,Total,1+,1272000.0,22000.0,10120000.0,national,46,0.46,BPI,
2020,Dove Gifting,Dove Y20 CVD campaign,2020/8/17,2020/8/25,P18-35,Total,1+,2055781.0,352171.0,34733420.0,national,52,0.09862657629390267,BPI,
2020,Dove Core,Dove Y20 Rainbow campaign,2020/4/19,2020/6/20,P15-35,Total,1+,4196933.0,383000.0,38798086.0,national,55,0.10130048563968669,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/7/13,2020/9/16,P20-40,Total,1+,22792000.0,380000.0,338200000.0,national,59,0.89,BPI,
2020,Dove Core,Dove Y20 Premium line campaign,2020/10/9,2020/11/8,P18-30,Total,1+,3935760.0,240000.0,48000000.0,national,67,0.2,BPI,
2020,Dove Core,Dove Y20 Rainbow&goodness campaign,2020/10/26,2020/11/29,P15-35,Total,1+,9687549.0,407424.0,139158488.0,national,71,0.3415569234998429,BPI,
2019,Snickers,SNK Y19 BPI CNY,2019/1/7,2019/2/3,P15-35 Migrator,Total,1+,4001683.0,255000.0,115973617.0,national,77,0.4547984980392157,BPI,
2019,Snickers,SNK Y19 BPI Exam,2019/4/1,43585.00,P14-24 & 40-50,Total,1+,8002241.0,171000.0,146651584.0,national,81,0.8576116023391813,BPI,
2019,Snickers,SNK Y19 Cooling,2019/10/6,2019/11/2,P15-35,Total,1+,4063614.0,316478.0,201078544.0,national,88,0.6353634186262552,BPI,
2019,Snickers,SNK Y19 Sports,2019/9/8,2019/10/12,P15-44,Total,1+,5540000.0,475484.0,146133265.0,national,93,0.3073358199224369,BPI,
2020,Snickers,SNK Y20 BPI CNY,2019/12/11,2020/1/28,P15-40 Migrator,Total,1+,10866310.0,326395.0,223295141.0,national,98,0.6841254951822179,BPI,
2020,Snickers,SNK Y20 BPI Summer Sports,2020/7/12,2020/8/8,P15-40,Total,1+,4222300.0,449903.0,73588350.0,national,107,0.16356492399472775,BPI,
2020,Snickers,SNK Y20 BPI Wafer,2020/10/26,2020/11/29,P15-40,Total,1+,5269770.0,283691.0,76417808.0,national,111,0.2693698707396428,BPI,
2019,MMS,MMS Y19 Voting Campaign,2019/10/12,2019/11/3,P15-35,Total,1+,6444297.0,407424.0,264335103.0,national,116,0.6487961018496701,BPI,
2019,MMS,MMS Y19 BPI Crispy Launch,2019/3/11,2019/4/7,P15-35,Total,1+,5000000.0,407424.0,82558636.0,national,120,0.2026356719289978,BPI,
2019,MMS,MMS Y19 BPI Movie,2019/6/14,2019/7/20,P15-35,Total,1+,6930000.0,407424.0,322005081.0,national,124,0.790343919356739,BPI,
2019,MMS,MMS Y19 BPI Q4 Incentive,2019/10/21,2019/11/13,P15-35,Total,1+,2500000.0,407424.0,200935838.0,national,127,0.4931860616949419,BPI,
2020,MMS,MMS Y20 BPI Crispy After Care,2020/5/4,2020/6/3,P15-35,Total,1+,4300033.0,407424.0,67503326.0,national,129,0.16568323417373548,BPI,
2020,MMS,MMS Y20 BPI P7P8 Olympic,2020/6/30,2020/9/10,P15-35,Total,1+,10000000.0,407424.0,293872869.0,national,134,0.721294938442507,BPI,
2020,MMS,MMS Y20 BPI P11 Screen Time,2020/11/2,2020/11/30,P15-35,Total,1+,4997880.0,407424.0,72000000.0,national,140,0.1767200754005655,BPI,
2019,CXM,CXM Y19 Animal Stick,2019/12/9,2020/1/1,F25-40 GK,Total,1+,5667602.0,92600.0,74069457.0,national,143,0.7998861447084233,BPI,
2020,CXM,CXM Y20 Animal Stick,2020/5/20,2020/6/10,F25-40 GK,Total,1+,5759792.0,92600.0,55188344.0,national,150,0.5959864362850972,BPI,
2020,CXM,CXM Y20 Yougurt Cup,2020/8/17,2020/9/27,F25-40 GK,Total,1+,9050536.0,95354.0,63926448.0,national,157,0.6704118128237935,BPI,
2019,Maltesers,Maltesers Y19 BPI Campaign,2019/12/18,2019/12/24,F20-40 White Collar,Total,1+,1996234.0,98400.0,36280987.0,national,165,0.3687092174796748,BPI,
2019,Extra,Extra Y19 BPI P2 CNY,2019/1/22,2019/2/1,P13-50,Total,1+,3490566.0,770785.0,192696250.0,national,167,0.25,BPI,
2019,Extra,Extra Y19 BPI P9 Crystal,2019/11/23,2019/12/19,P13-35,Total,1+,3573635.0,407424.0,92176639.0,national,175,0.22624253603125982,BPI,
2019,Extra,Extra Y19 BPI P10 In Car,2019/9/23,2019/10/20,Driver,Total,1+,1569214.0,382933.0,83274457.0,national,178,0.2174648228280143,BPI,
2019,Extra,Extra Y19 BPI P4 In Car,2020/3/27,2020/4/26,Driver,Total,1+,1038800.0,382933.0,9993093.0,national,183,0.026096191762005363,BPI,
2019,Extra,Extra Y19 BPI P8 Music,2019/6/15,2019/9/6,P13-35,Total,1+,18250000.0,407424.0,293345280.0,national,188,0.72,BPI,
2020,Extra,Extra Y20 P1P2 CNY Campaign,2019/12/29,2020/1/29,P13-35,Total,1+,3114141.0,407424.0,77410560.0,national,192,0.19,BPI,
2020,Extra,Extra Y20 P7 Music Campaign,2020/6/14,2020/7/17,P13-35,Total,1+,6489582.0,407424.0,116283145.0,national,197,0.28541064100298463,BPI,
2020,Extra,Extra Y20 P8P9 Cheering Campaign(IP Co op),2020/6/19,2020/9/30,P13-35,Total,1+,4908000.0,407424.0,93707520.0,national,202,0.23,BPI,
2020,Extra,Extra Y20 P10 Aftermeal Campaign,2020/9/24,2020/11/15,P13-35,Total,1+,1587184.0,407424.0,79606983.0,national,204,0.19539100053016023,BPI,
2019,DMG,Y19 DMG P2 BPI Alipay,2019/1/30,2019/1/31,P13-35,Total,1+,1000000.0,407424.0,30483352.0,national,207,0.07481972588752749,BPI,
2019,DMG,Y19 DMG P3 BPI  Thematic,2019/4/22,2019/5/22,P13-35,Total,1+,5000000.0,407424.0,144272094.0,national,210,0.3541079906927427,BPI,
2019,DMG,Y19 DMG P8P10 BPI After Meal Eleme,2019/6/1,2019/9/30,P13-35,Total,1+,4000000.0,407424.0,143745706.0,national,212,0.3528160000392711,BPI,
2019,DMG,Y19 DMG P11 BPI Anlaiye,2019/10/9,2019/10/12,P13-35,Total,1+,214500.0,407424.0,4481664.0,national,214,0.011,BPI,
2019,DMG,Y19 DMG P10 BPI Connection Pack-JDDJ,2019/9/13,2019/9/29,P13-35,Total,1+,500000.0,407424.0,10593024.0,national,216,0.026,BPI,
2019,DMG,Y19 DMG P12 BPI After meal MT+DP,2019/11/15,2019/11/26,P13-35,Total,1+,1039430.0,407424.0,12630144.0,national,218,0.031,BPI,
2020,DMG,DMG Y20 P1 CNY Thematic ,2020/1/8,2020/1/28,P13-35,Total,1+,11409234.0,407424.0,22815744.0,national,220,0.056,BPI,
2020,DMG,DMG Y20 P6 After Meal,2020/5/17,2021/8/18,P13-35,Total,1+,427889.0,407424.0,6783143.0,national,225,0.016648854755733584,BPI,
2020,DMG,DMG Y20 P8 After Meal,2020/8/2,2020/8/18,P13-35,Total,1+,1623014.0,407424.0,22815744.0,national,227,0.056,BPI,
2020,DMG,DMG Y20 P6-P10 Eleme co-op,2020/5/17,2020/10/3,P13-35,Total,1+,2500000.0,407424.0,23303302.0,national,229,0.057196684535029844,BPI,
2020,DMM,DMM Y20 BPI P8 Under Masking Campaign,2020/7/29,2020/8/7,P13-35,Total,1+,437011.0,407424.0,11013082.0,national,233,0.027031009464341817,BPI,
2020,DMM,DMM Y20 P9 Kissing Campaign,2020/8/13,2020/9/19,P13-35,Total,1+,2314980.0,407424.0,53160929.0,national,235,0.1304806025172793,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2019/1/8,2019/2/4,P13-50,Total,1+,6874479.0,770785000.0,255557361.0,national,238,0.00033155466310319997,BPI,
2019,Skittles,Skittles Y19 BPI P4 Flora,2019/3/2,2019/6/2,P13-35,Total,1+,933454.0,424343000.0,21548721.0,national,247,5.078137497260471e-05,BPI,
2019,Skittles,Skittles Y19 BPI P7 Spiderman,2019/6/1,2019/8/31,P13-35,Total,1+,3134113.0,770785000.0,145516804.0,national,251,0.0001887903942085017,BPI,
2019,Skittles,Skittles Y19 BPI P10,2019/9/16,2019/10/12,P13-35,Total,1+,4115820.0,424343000.0,122756452.0,national,254,0.00028928591257544015,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2019/12/29,2020/1/25,P13-35,Total,1+,5682078.0,424343000.0,144135651.0,national,258,0.00033966779468496,BPI,
2020,Skittles,Skittles Y20 BPI P6 Dairy,2020/5/25,2020/6/20,P13-35,Total,1+,3912992.0,407424000.0,70278630.0,national,267,0.00017249506656456175,BPI,
2020,Skittles,Skittles Y20 BPI P9 Gummi,2020/8/18,2020/9/28,P13-35,Total,1+,4953594.0,407424000.0,162004982.0,national,272,0.0003976323976987119,BPI,
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/7,2019/2/5,P20-40,QQ zone,1+,500000.0,407424.0,25990915.0,national,2,0.06379328414624567,BPI,
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/7,2019/2/5,P20-40,Tencent Video,1+,2000000.0,407424.0,56840399.0,national,3,0.13951166107053095,BPI,
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/7,2019/2/5,P20-40,Wechat,1+,500000.0,407424.0,6936722.0,national,4,0.017025806039899467,BPI,
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/7,2019/3/13,P20-40,Tencent,1+,4000000.0,407424.0,138524160.0,national,5,0.34,BPI,
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/25,2019/2/5,P20-40,FaceU,1+,840000.0,407424.0,40742400.0,national,6,0.1,BPI,
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/7,2019/2/5,P20-40,Weibo,1+,2000000.0,407424.0,63754018.0,national,7,0.15648076205623626,BPI,
2019,Dove Core+Dove Gifting,Dove Y19 BPI CNY,2019/1/31,2019/2/13,P20-40,Cinema,1+,2300000.0,420845.0,14259840.0,national,8,0.033883828963157454,BPI,
2019,Dove Core,Dove Y19 wedding campaign,2019/3/21,2019/4/18,Potential wedding people,HLJ,1+,1270000.0,22000.0,10010000.0,national,10,0.455,BPI,
2019,Dove Core,Dove Y19 wedding campaign,2019/3/20,2019/4/18,Potential wedding people,BH wedding,1+,900000.0,22000.0,7788000.0,national,11,0.354,BPI,
2019,Dove Core,Dove Y19 wedding campaign,2019/3/17,2019/4/20,Potential wedding people,Baidu,1+,21000.0,22000.0,44000.0,national,12,0.002,BPI,
2019,Dove Core,Dove Y19 wedding campaign,2019/3/20,2019/4/17,Potential wedding people,Weibo,1+,954000.0,22000.0,10340000.0,national,13,0.47,BPI,
2019,Dove Core,Dove Y19 wedding campaign,2019/4/2,2019/4/12,Potential wedding people,Red,1+,729000.0,22000.0,484000.0,national,14,0.022,BPI,
2019,Dove Core,Dove Y19 Rainbow campaign,2019/4/22,2019/5/3,P15-35,Red,1+,3000000.0,129609.0,22468637.0,national,16,0.17335707396862873,BPI,
2019,Dove Core,Dove Y19 Music campaign,2019/9/9,2019/12/6,P20-40,Tencent,1+,6300000.0,430484.0,201726710.0,national,18,0.46860443129129076,BPI,
2019,Dove Core,Dove Y19 Music campaign,2019/9/9,2019/12/6,P20-40,Weibo,1+,730398.0,430484.0,18301418.0,national,19,0.04251358470930395,BPI,
2019,Dove Gifting,Dove Y19 CVD campaign,2019/8/4,2019/8/6,P18-35,QQ music,1+,4240000.0,320000.0,152000000.0,national,21,0.475,BPI,
2019,Dove Gifting,Dove Y19 CVD campaign,2019/7/24,2019/8/7,P18-35,Bilibili,1+,846000.0,320000.0,36525150.0,national,22,0.11414109375,BPI,
2019,Dove Gifting,Dove Y19 CVD campaign,2019/7/24,2019/8/7,P18-35,Weibo,1+,841160.0,320000.0,21029000.0,national,23,0.065715625,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,手机QQ浏览器,1+,327672.0,220000.0,8934724.0,national,25,0.04061238181818182,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Tencent,1+,925901.0,220000.0,22805437.0,national,26,0.10366107727272728,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Toutiao,1+,1595652.0,220000.0,24216078.0,national,27,0.11007308181818182,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Netease News,1+,128125.0,220000.0,24216078.0,national,28,0.11007308181818182,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Weibo,1+,720000.0,220000.0,16171000.0,national,29,0.07350454545454546,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Meituan,1+,1000000.0,220000.0,49807588.0,national,30,0.22639812727272726,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Dianping,1+,575000.0,220000.0,4500000.0,national,31,0.020454545454545454,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Meituan,1+,565000.0,220000.0,5136750.0,national,32,0.023348863636363636,BPI,
2019,Dove Core,Dove Y19 Coffee campaign,2019/8/12,2019/9/15,P20-40 Coffee drinker,Meituan Waimai,1+,400000.0,220000.0,17432356.0,national,33,0.07923798181818181,BPI,
2019,Dove Core,Dove Y19 Premium line Campaign,2019/11/1,2020/11/12,P18-40,Red,1+,1325000.0,117623.0,29405750.0,national,35,0.25,BPI,
2019,Dove Core,Dove Y19 Ice cream campaign,2019/12/13,2019/12/23,P15-30,Toutiao,1+,2000000.0,231000.0,46200000.0,national,37,0.2,BPI,
2019,Dove Core,Dove Y19 Ice cream campaign,2019/12/13,2019/12/23,P15-30,轻颜,1+,216000.0,231000.0,46200000.0,national,38,0.2,BPI,
2019,Dove Core,Dove Y19 Ice cream campaign,2019/12/13,2019/12/23,P15-30,FaceU,1+,432000.0,231000.0,46200000.0,national,39,0.2,BPI,
2019,Dove Core,Dove Y19 Ice cream campaign,2019/12/6,2019/12/20,P15-30,快看,1+,2800000.0,231000.0,80850000.0,national,40,0.35,BPI,
2020,Dove Core+Dove Gifting,Dove Y20 CNY,2020/1/10,2020/1/10,P18-35,Douyin,1+,3000000.0,352171.0,98607880.0,national,42,0.28,BPI,
2020,Dove Core+Dove Gifting,Dove Y20 CNY,2019/12/28,2020/1/15,P18-35,Weibo,1+,2120000.0,352171.0,38034468.0,national,43,0.108,BPI,
2020,Dove Core+Dove Gifting,Dove Y20 CNY,2019/12/28,2020/1/19,P18-35,Ali Serialization,1+,5230000.0,352171.0,52825650.0,national,44,0.15,BPI,
2020,Dove Core+Dove Gifting,Dove Y20 CNY,2019/12/28,2020/1/19,P18-35,Youku,1+,0.0,352171.0,52825650.0,national,45,0.15,BPI,
2020,Dove Core,Dove Y20 wedding campaign,2020/4/22,2020/4/29,Potential wedding people,HLJ,1+,710200.0,22000.0,6138000.0,national,47,0.279,BPI,
2020,Dove Core,Dove Y20 wedding campaign,2020/4/22,2020/4/29,Potential wedding people,BH wedding,1+,402800.0,22000.0,4092000.0,national,48,0.186,BPI,
2020,Dove Core,Dove Y20 wedding campaign,2020/4/20,2020/6/19,Potential wedding people,Baidu,1+,60000.0,22000.0,1782000.0,national,49,0.081,BPI,
2020,Dove Core,Dove Y20 wedding campaign,2020/4/20,2020/6/19,Potential wedding people,-1,1+,69000.0,22000.0,1782000.0,national,50,0.081,BPI,
2020,Dove Core,Dove Y20 wedding campaign,2020/4/20,2020/6/19,Potential wedding people,-1,1+,30000.0,22000.0,1782000.0,national,51,0.081,BPI,
2020,Dove Gifting,Dove Y20 CVD campaign,2020/8/17,2020/8/25,P18-35,Tencent,1+,869261.0,352171.0,13794771.0,national,53,0.03917066141164378,BPI,
2020,Dove Gifting,Dove Y20 CVD campaign,2020/8/17,2020/8/25,P18-35,Ali,1+,1186520.0,352171.0,19921512.0,national,54,0.056567724202163154,BPI,
2020,Dove Core,Dove Y20 Rainbow campaign,2020/4/19,2020/6/20,P15-35,Weibo,1+,882900.0,383000.0,27270093.0,national,56,0.07120128720626633,BPI,
2020,Dove Core,Dove Y20 Rainbow campaign,2020/4/19,2020/6/20,P15-35,Douyin,1+,1221240.0,383000.0,28135523.0,national,57,0.07346089556135771,BPI,
2020,Dove Core,Dove Y20 Rainbow campaign,2020/4/19,2020/6/20,P15-35,Ali Serialization,1+,2092793.0,383000.0,26559460.0,national,58,0.06934584856396867,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/8/22,2020/8/30,P20-40,Ali Serialization,1+,4500000.0,380000.0,293999817.0,national,60,0.7736837289473685,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/8/30,2020/9/14,P20-40,Bilibili,1+,3000000.0,380000.0,75176324.0,national,61,0.19783243157894737,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/8/30,2020/9/14,P20-40,Douyin,1+,6992000.0,380000.0,293999817.0,national,62,0.7736837289473685,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/7/13,2020/9/14,P20-40,Douyin,1+,2000000.0,380000.0,293999817.0,national,63,0.7736837289473685,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/8/31,2020/8/31,P20-40,WeChat,1+,3000000.0,380000.0,20857018.0,national,64,0.05488688947368421,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/8/26,2020/8/30,P20-40,Weibo,1+,3000000.0,380000.0,44179064.0,national,65,0.1162606947368421,BPI,
2020,Dove Core,Dove Y20 Relaunch campaign,2020/7/3,2020/9/4,P20-40,新片场,1+,300000.0,380000.0,153194.0,national,66,0.0004031421052631579,BPI,
2020,Dove Core,Dove Y20 Premium line campaign,2020/10/9,2020/11/8,P18-30,Tencent Video,1+,337860.0,240000.0,3740943.0,national,68,0.0155872625,BPI,
2020,Dove Core,Dove Y20 Premium line campaign,2020/10/9,2020/11/8,P18-30,Douyin,1+,3097900.0,240000.0,46622007.0,national,69,0.1942583625,BPI,
2020,Dove Core,Dove Y20 Premium line campaign,2020/10/9,2020/11/8,P18-30,Weibo,1+,500000.0,240000.0,9348768.0,national,70,0.0389532,BPI,
2020,Dove Core,Dove Y20 Rainbow&goodness campaign,2020/10/26,2020/11/29,P15-35,Weibo,1+,871375.0,407424.0,22422757.0,national,72,0.05503543482956331,BPI,
2020,Dove Core,Dove Y20 Rainbow&goodness campaign,2020/10/26,2020/11/29,P15-35,Douyin,1+,3304597.0,407424.0,41243705.0,national,73,0.1012304257972039,BPI,
2020,Dove Core,Dove Y20 Rainbow&goodness campaign,2020/10/26,2020/11/29,P15-35,Youku,1+,309038.0,407424.0,7128239.0,national,74,0.017495874077128496,BPI,
2020,Dove Core,Dove Y20 Rainbow&goodness campaign,2020/10/26,2020/11/29,P15-35,Tencent,1+,2060247.0,407424.0,29190114.0,national,75,0.07164554370876532,BPI,
2020,Dove Core,Dove Y20 Rainbow&goodness campaign,2020/10/26,2020/11/29,P15-35,Ali Serialization,1+,3142292.0,407424.0,2613011.0,national,76,0.006413493068645931,BPI,
2019,Snickers,SNK Y19 BPI CNY,2019/1/7,2019/1/28,P15-35 Migrator,C-trip,1+,2500000.0,255000.0,105941322.0,national,78,0.41545616470588237,BPI,
2019,Snickers,SNK Y19 BPI CNY,2019/1/7,2019/1/7,P15-35 Migrator,12306,1+,700000.0,255000.0,11783377.0,national,79,0.04620932156862745,BPI,
2019,Snickers,SNK Y19 BPI CNY,2019/1/7,2019/1/8,P15-35 Migrator,Weibo,1+,801683.0,255000.0,5639841.0,national,80,0.022117023529411764,BPI,
2019,Snickers,SNK Y19 BPI Exam,2019/4/2,2019/4/2,P14-24 & 40-50,Weibo,1+,2170864.0,171000.0,3927356.0,national,82,0.022966994152046782,BPI,
2019,Snickers,SNK Y19 BPI Exam,2019/4/1,2019/4/14,P14-24 & 40-50,IFLYTEK,1+,265000.0,171000.0,21681458.0,national,83,0.12679215204678362,BPI,
2019,Snickers,SNK Y19 BPI Exam,2019/4/1,43585.00 ,P14-24 & 40-50,Youdao,1+,1500000.0,171000.0,124379848.0,national,84,0.7273675321637427,BPI,
2019,Snickers,SNK Y19 BPI Exam,2019/4/2,2019/4/16,P14-24 & 40-50,Zuoyebang,1+,1500000.0,171000.0,71627815.0,national,85,0.4188761111111111,BPI,
2019,Snickers,SNK Y19 BPI Exam,2019/3/31,2019/4/13,P14-24 & 40-50,Bus Shelter,1+,2138877.0,171000.0,5984904.0,national,86,0.034999438596491225,BPI,
2019,Snickers,SNK Y19 BPI Exam,2019/4/1,2019/4/29,P14-24 & 40-50,21st Century,1+,427500.0,171000.0,8000000.0,national,87,0.04678362573099415,BPI,
2019,Snickers,SNK Y19 Cooling,2019/10/8,2019/10/8,P15-35,Weibo,1+,377405.0,316478.0,1953147.0,national,89,0.006171509552006775,BPI,
2019,Snickers,SNK Y19 Cooling,2019/10/15,2019/10/28,P15-35,Bus Shelter,1+,1092878.0,316478.0,6818932.0,national,90,0.02154630653631532,BPI,
2019,Snickers,SNK Y19 Cooling,2019/10/6,2019/10/22,P15-35,Red,1+,1700000.0,316478.0,19794687.0,national,91,0.06254680262135125,BPI,
2019,Snickers,SNK Y19 Cooling,2019/10/6,2019/11/2,P15-35,Tencent,1+,893331.0,316478.0,297513405.0,national,92,0.9400761032362439,BPI,
